Título,Año,Descripción,Autor,Tipo de archivo,Link sinia,Link externo,Link,Código,Perfil,Clasificación,documentos complementarios,ampyd,Ubicación en la estructura
"Informe final: Espacios de encuentro y capacitación 2021  - Región NEA
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/476/20210831%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20NEA%20%20Sociedad%20civil.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Informe final: Espacios de encuentro y capacitación 2021  - Región patagonia
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/477/20210903%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20Patagonia%20Sociedad%20civil.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Talleres regionales de adaptación n.° 2 - Región Centro
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/478/2021%2008%2012%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20N%C2%B02%20-%20Regi%C3%B3n%20Centro.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Talleres regionales de adaptación n.° 2 - Región Cuyo
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/479/2021%2008%2013%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20N%C2%B02%20-%20Regi%C3%B3n%20Cuyo.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Talleres regionales de adaptación n.° 2 - Región NEA
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/480/2021%2008%2010%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20N%C2%B02%20-%20Regi%C3%B3n%20NEA.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Talleres regionales de adaptación n.° 2 - Región NOA
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/481/2021%2008%2011%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20N%C2%B02%20-%20Regi%C3%B3n%20NOA.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Talleres regionales de adaptación n.° 2 - Región Patagonia 
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/482/2021%2008%2006%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20N%C2%B02%20-%20Regi%C3%B3n%20Patagonia.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Presentación Talleres Regionales de Adaptación n.° 5 - Región Centro
",2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/483/Taller%20Regional%20de%20Adaptaci%C3%B3n%20N5%20-%20Centro.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Presentación Talleres Regionales de Adaptación n.° 5 - Región Cuyo
",2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/484/Taller%20Regional%20de%20Adaptaci%C3%B3n%20N5%20-%20Cuyo.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Presentación Talleres Regionales de Adaptación n.° 5 - Región NEA
",2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/485/Taller%20Regional%20de%20Adaptaci%C3%B3n%20N5%20-%20NEA.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
